epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5356,2.47373,5.06971,1.10388,0,0,0,0,1.87859,4.96717,0.9672,0.000185185,0.000185185,0.000185185
2,18.0127,1.88271,4.65615,0.93277,0.0008,0.0281,0.00115,0.00022,1.49113,4.82615,0.85998,0.000389623,0.000389623,0.000389623
3,22.688,1.84125,4.18991,0.87031,0.00171,0.02426,0.00026,6e-05,1.47478,4.7736,0.8608,0.000589935,0.000589935,0.000589935
4,27.6068,1.674,3.71148,0.8696,0.00301,0.04103,0.00086,0.00021,1.43014,4.69731,0.85649,0.000606437,0.000606437,0.000606437
5,32.2342,1.75468,3.50551,0.85613,0.00613,0.04776,0.00198,0.00045,1.5272,4.62115,0.86659,0.00060025,0.00060025,0.00060025
6,37.1077,1.62561,3.31789,0.85979,0.02277,0.13392,0.01922,0.00832,1.33815,4.42391,0.83874,0.000594062,0.000594062,0.000594062
7,41.8871,1.57859,3.02616,0.84435,0.02775,0.27439,0.04042,0.01942,1.26201,4.24225,0.83089,0.000587875,0.000587875,0.000587875
8,46.644,1.50813,2.79174,0.83908,0.03679,0.41119,0.0625,0.03215,1.36817,4.07607,0.84586,0.000581687,0.000581687,0.000581687
9,51.1534,1.47693,2.67019,0.84164,0.0481,0.68323,0.10619,0.06498,1.14407,3.81968,0.82867,0.0005755,0.0005755,0.0005755
10,55.9299,1.49719,2.51171,0.83548,0.0535,0.87715,0.15336,0.08655,1.3086,3.54434,0.84233,0.000569313,0.000569313,0.000569313
11,60.592,1.46525,2.43676,0.83975,0.05744,0.96958,0.21326,0.13947,1.13593,3.26674,0.83251,0.000563125,0.000563125,0.000563125
12,65.204,1.38279,2.34209,0.83259,0.05605,0.98492,0.22803,0.1408,1.21943,3.10098,0.8455,0.000556938,0.000556938,0.000556938
13,70.1221,1.38569,2.30058,0.82985,0.05633,0.99342,0.266,0.18646,1.09654,2.84869,0.83203,0.00055075,0.00055075,0.00055075
